True,Country,variable,value
285,Uganda,2008,107.0
286,Uganda,2008,309.0
287,Uganda,2008,2579.0
421,United States,2008,13750.0
422,United States,2008,700.0
423,United States,2008,150.0
424,United States,2008,120.0
425,United States,2008,7100.0
426,United States,2008,50353.0
427,Canada,2008,20055.0
435,United States,2008,183.0
436,United States,2008,1342.0
437,United States,2008,1539.0
438,United States,2008,578.0
439,United States,2008,1652.0
440,United States,2008,7500.0
441,United States,2008,1917.0
442,United States,2008,1275.0
443,United States,2008,374929.0
446,United States,2008,36758.0
447,United States,2008,1333.0
451,Canada,2008,93.0
452,Canada,2008,303.0
455,Canada,2008,22.0
456,Canada,2008,276.0
457,Canada,2008,399.0
459,United States,2008,487.0
460,United States,2008,3212.0
461,United States,2008,2731.0
472,United States,2008,96731.0
536,Spain,2008,366.0
591,Spain,2008,125.0
592,Spain,2008,79.0
593,Spain,2008,326.0
594,Spain,2008,156.0
595,Spain,2008,9.0
596,Spain,2008,20.0
597,Spain,2008,412.0
598,Spain,2008,21.0
599,Spain,2008,57.0
600,Spain,2008,74.0
601,Spain,2008,200.0
602,Spain,2008,350.0
603,Spain,2008,16.0
604,Spain,2008,200.0
605,Spain,2008,300.0
606,Spain,2008,49.0
607,Spain,2008,719.0
608,Spain,2008,36.0
609,Spain,2008,9.0
610,Spain,2008,6.0
611,Spain,2008,2.0
612,Spain,2008,50.0
739,Spain,2008,2.0
740,Spain,2008,671.0
741,Spain,2008,819.0
742,Spain,2008,385.0
743,Spain,2008,363.0
744,Spain,2008,5.0
745,Spain,2008,4654.0
746,Spain,2008,3312.0
747,Spain,2008,893.0
748,Spain,2008,67.0
749,Spain,2008,8646.0
750,Spain,2008,5825.0
751,Spain,2008,8926.0
752,Spain,2008,62.0
753,Spain,2008,440.0
754,Spain,2008,3.0
755,Spain,2008,4.0
756,Spain,2008,124.0
757,Spain,2008,953.0
758,Spain,2008,6346.0
759,Spain,2008,4.0
760,Spain,2008,27153.0
761,Spain,2008,475.0
762,Spain,2008,121.0
763,Spain,2008,6.0
764,Spain,2008,371.0
765,Spain,2008,309.0
766,Spain,2008,421.0
767,Spain,2008,199.0
768,Spain,2008,347.0
769,Spain,2008,43.0
837,Australia,2008,13342.0
838,Australia,2008,3151.0
839,Australia,2008,15488.0
840,Australia,2008,474.0
844,Australia,2008,48.0
845,Australia,2008,33.0
847,Australia,2008,39.0
848,Australia,2008,825.0
870,Australia,2008,4.0
871,Australia,2008,0.0
872,Australia,2008,1.0
873,Australia,2008,534.0
941,Switzerland,2008,1600.0
943,Switzerland,2008,154.0
944,Russian Federation,2008,30.0
945,Russian Federation,2008,18500.0
948,Zambia,2008,6318.0
950,United States,2008,335.0
951,United States,2008,583.0
952,United States,2008,166.0
954,United States,2008,31.0
955,France,2008,14036.0
957,France,2008,26450.0
960,United States,2008,64944.0
961,China,2008,1639.0
962,Australia,2008,677.0
963,"Korea, Republic Of",2008,97.0
964,"Korea, Republic Of",2008,30.0
969,Australia,2008,1141.0
972,Netherlands,2008,2971.0
973,Ukraine,2008,0.0
974,Sweden,2008,461.0
977,China,2008,46057.0
978,China,2008,929.0
986,Germany,2008,7525.0
987,Poland,2008,12418.0
988,Estonia,2008,67.0
989,Germany,2008,16930.0
996,Poland,2008,16330.0
1002,China,2008,4645.0
1003,Australia,2008,3018.0
1004,Australia,2008,39.0
1010,Argentina,2008,14800.0
1011,"Korea, Republic Of",2008,34.0
1012,"Korea, Republic Of",2008,1874.0
1017,Netherlands,2008,209039.0
1018,Greece,2008,2563.0
1020,Denmark,2008,19.0
1021,Denmark,2008,17391.0
1022,Bangladesh,2008,1365.0
1024,Argentina,2008,9881.0
1025,Greece,2008,10373.0
1028,Netherlands,2008,1407.0
1038,Canada,2008,47.0
1052,South Africa,2008,8.0
1081,South Africa,2008,7.0
1368,Uganda,2009,116.0
1369,Uganda,2009,316.0
1370,Uganda,2009,2635.0
1504,United States,2009,14900.0
1505,United States,2009,350.0
1506,United States,2009,700.0
1507,United States,2009,50.0
1508,United States,2009,8600.0
1509,United States,2009,54126.0
1531,United States,2009,30490.0
1536,Canada,2009,497.0
1555,United States,2009,156933.0
1674,Spain,2009,125.0
1675,Spain,2009,68.0
1676,Spain,2009,461.0
1677,Spain,2009,212.0
1678,Spain,2009,10.0
1679,Spain,2009,20.0
1680,Spain,2009,361.0
1681,Spain,2009,43.0
1682,Spain,2009,39.0
1683,Spain,2009,64.0
1684,Spain,2009,250.0
1685,Spain,2009,300.0
1686,Spain,2009,14.0
1687,Spain,2009,150.0
1688,Spain,2009,500.0
1689,Spain,2009,35.0
1690,Spain,2009,1882.0
1691,Spain,2009,27.0
1692,Spain,2009,8.0
1693,Spain,2009,9.0
1694,Spain,2009,4.0
1695,Spain,2009,30.0
2025,Belgium,2009,900.0
2027,Russian Federation,2009,54.0
2028,Russian Federation,2009,21500.0
2031,Zambia,2009,6331.0
2037,United States,2009,24.0
2038,France,2009,12951.0
2040,France,2009,23246.0
2043,United States,2009,91948.0
2046,"Korea, Republic Of",2009,64.0
2047,"Korea, Republic Of",2009,658.0
2055,Netherlands,2009,2464.0
2056,Ukraine,2009,0.0
2061,China,2009,823.0
2093,Argentina,2009,17800.0
2094,"Korea, Republic Of",2009,10.0
2095,"Korea, Republic Of",2009,2241.0
2099,Israel,2009,887.0
2100,Netherlands,2009,224256.0
2101,Greece,2009,3794.0
2103,Denmark,2009,10.0
2104,Denmark,2009,9752.0
2105,Bangladesh,2009,4810.0
2107,Argentina,2009,4560.0
2108,Greece,2009,12229.0
2111,Netherlands,2009,1510.0
2112,Canada,2009,3853.0
2121,Canada,2009,29.0
2143,United States,2009,2.0
2144,United States,2009,3.0
2145,United States,2009,62.0
2146,United States,2009,5.0
2147,United States,2009,0.0
2148,United States,2009,27.0
2160,"Venezuela, Bolivarian Republic Of",2009,5.0
2161,"Venezuela, Bolivarian Republic Of",2009,2.0
2164,South Africa,2009,7.0
2592,United States,2010,22053.0
2614,United States,2010,23863.0
2619,Canada,2010,288.0
2638,United States,2010,100670.0
2757,Spain,2010,150.0
2758,Spain,2010,40.0
2759,Spain,2010,617.0
2760,Spain,2010,64.0
2761,Spain,2010,11.0
2762,Spain,2010,2.0
2763,Spain,2010,263.0
2764,Spain,2010,29.0
2765,Spain,2010,59.0
2766,Spain,2010,69.0
2767,Spain,2010,300.0
2768,Spain,2010,500.0
2769,Spain,2010,21.0
2770,Spain,2010,250.0
2771,Spain,2010,500.0
2772,Spain,2010,65.0
2773,Spain,2010,3049.0
2774,Spain,2010,37.0
2775,Spain,2010,12.0
2776,Spain,2010,27.0
2777,Spain,2010,4.0
2778,Spain,2010,50.0
3111,Russian Federation,2010,23125.0
3114,Zambia,2010,6150.0
3120,United States,2010,27.0
3121,France,2010,15430.0
3123,France,2010,27653.0
3126,United States,2010,64562.0
3127,China,2010,3377.0
3128,Australia,2010,158.0
3129,"Korea, Republic Of",2010,342.0
3130,"Korea, Republic Of",2010,780.0
3138,Netherlands,2010,2348.0
3139,Ukraine,2010,0.0
3143,China,2010,34247.0
3144,China,2010,545.0
3176,Argentina,2010,16260.0
3177,"Korea, Republic Of",2010,29.0
3178,"Korea, Republic Of",2010,4787.0
3182,Israel,2010,2726.0
3183,Netherlands,2010,205835.0
3184,Greece,2010,1109.0
3188,Bangladesh,2010,2060.0
3191,Greece,2010,3864.0
3194,Netherlands,2010,1142.0
3195,Canada,2010,4338.0
3204,Canada,2010,30.0
3840,Spain,2011,180.0
3841,Spain,2011,92.0
3842,Spain,2011,599.0
3843,Spain,2011,180.0
3844,Spain,2011,6.0
3845,Spain,2011,10.0
3846,Spain,2011,406.0
3847,Spain,2011,24.0
3848,Spain,2011,34.0
3849,Spain,2011,68.0
3850,Spain,2011,300.0
3851,Spain,2011,500.0
3852,Spain,2011,41.0
3853,Spain,2011,300.0
3854,Spain,2011,750.0
3855,Spain,2011,56.0
3856,Spain,2011,2429.0
3857,Spain,2011,35.0
3858,Spain,2011,17.0
3859,Spain,2011,135.0
3860,Spain,2011,5.0
3861,Spain,2011,30.0
4192,Switzerland,2011,244.0
4194,Russian Federation,2011,22775.0
4197,Zambia,2011,6738.0
4212,"Korea, Republic Of",2011,144.0
4213,"Korea, Republic Of",2011,1127.0
4259,Argentina,2011,9850.0
4260,"Korea, Republic Of",2011,37.0
4261,"Korea, Republic Of",2011,3361.0
4265,Israel,2011,1697.0
4267,Greece,2011,2676.0
4271,Bangladesh,2011,10859.0
4274,Greece,2011,6102.0
4287,Canada,2011,85.0
4321,Colombia,2011,143.0
4923,Spain,2012,200.0
4924,Spain,2012,95.0
4925,Spain,2012,737.0
4926,Spain,2012,148.0
4927,Spain,2012,23.0
4928,Spain,2012,20.0
4929,Spain,2012,321.0
4930,Spain,2012,37.0
4931,Spain,2012,1.0
4932,Spain,2012,96.0
4933,Spain,2012,400.0
4934,Spain,2012,450.0
4935,Spain,2012,21.0
4936,Spain,2012,250.0
4937,Spain,2012,650.0
4938,Spain,2012,70.0
4939,Spain,2012,721.0
4940,Spain,2012,21.0
4941,Spain,2012,13.0
4942,Spain,2012,101.0
4943,Spain,2012,6.0
4944,Spain,2012,50.0
5280,Zambia,2012,6777.0
5295,"Korea, Republic Of",2012,64.0
5296,"Korea, Republic Of",2012,317.0
5343,"Korea, Republic Of",2012,15.0
5344,"Korea, Republic Of",2012,10002.0
5348,Israel,2012,1436.0
5350,Greece,2012,1473.0
5354,Bangladesh,2012,636.0
5357,Greece,2012,4729.0
5404,Colombia,2012,119.0
6378,"Korea, Republic Of",2013,45.0
6379,"Korea, Republic Of",2013,1675.0
6431,Israel,2013,1237.0
